date,median_pred_mwh,p10_mwh,p50_mwh,p90_mwh
2025-04-30,3471333.279860274,3333960.558301367,3469463.6502013686,3639025.3103513736
2025-05-01,3411763.849615956,3272064.6159070525,3411445.121707049,3568583.994007052
2025-05-02,3353425.544227806,3204974.9904689034,3355106.996568898,3483705.1373189045
2025-05-03,3522113.6637005415,3381869.0183416377,3520244.034041636,3655638.1425416367
2025-05-04,3438844.5154717793,3313365.4769128743,3447989.0513128727,3587953.6870628777
2025-05-05,3415596.323101026,3257161.2080421224,3412477.370192118,3551326.365942123
2025-05-06,3350594.903999038,3201626.7696401356,3351842.203340132,3502073.986690133
2025-05-07,3507269.577988621,3342058.861129714,3513354.2950797193,3637508.59142972
2025-05-08,3459004.5532947937,3319305.31958589,3458700.950885889,3626696.5837858934
2025-05-09,3422412.1685769153,3245304.483118007,3409659.7301680157,3573313.416868012
2025-05-10,3406041.590395891,3242108.2307369844,3406629.629736989,3541660.3291869885
2025-05-11,3387501.4719581506,3210393.7864992423,3399536.644299245,3536077.4317992483
2025-05-12,3392624.422578631,3257151.5342697264,3402142.7444197284,3541733.5941697294
2025-05-13,3359136.8873333586,3200901.995674454,3360818.339674451,3494694.0676244567
2025-05-14,3442911.7652999926,3295150.3298410904,3437831.346641084,3593575.6798410877
2025-05-15,3413442.2217989727,3255207.330140068,3428606.2951400653,3553358.8406400685
2025-05-16,3371827.668759451,3210727.3462005476,3377285.3448505457,3510979.0594505467
2025-05-17,3358510.0472513023,3218810.8135423986,3355413.2035923945,3489234.3164923997
2025-05-18,3439923.4319002684,3265370.7816413674,3431785.568241362,3588525.7299413662
2025-05-19,3427797.811507329,3280036.3760484266,3443744.835848417,3578462.0159984236
2025-05-20,3446590.031769864,3255525.6084609567,3449896.311360962,3590367.1829109592
2025-05-21,3438536.268139385,3313906.2851304826,3472756.8234804794,3590557.403730478
2025-05-22,3450564.4728504103,3285353.7559915036,3445484.054191502,3569520.302341501
2025-05-23,3453178.4755939743,3306991.2678850726,3468342.548935067,3590046.6153350743
2025-05-24,3454511.7000389057,3325470.1565299993,3471533.1703800056,3591319.0438300055
2025-05-25,3448106.224334931,3300870.2682760293,3447938.5726760244,3596708.812326029
2025-05-26,3446750.856630001,3309480.744621094,3468734.8124711015,3626623.1690710927
2025-05-27,3445737.2742830813,3308171.398174174,3436521.7558741746,3583031.403374181
2025-05-28,3444952.8305221885,3307682.718513281,3483325.6453632824,3602791.8009632835
2025-05-29,3441790.6290273247,3301898.240768421,3450191.754618419,3578136.256868415
2025-05-30,3409476.505972599,3274003.6176636945,3400060.614563694,3539970.2981636967
2025-05-31,3403042.9449040364,3258927.586695133,3412189.8254951313,3554686.0656451313
2025-06-01,3412099.382562734,3258330.37780383,3417043.2204038277,3562736.958903829
2025-06-02,3408465.44821246,3208256.136303555,3418483.697053556,3557067.746253558
2025-06-03,3389587.6158476663,3242330.495488764,3385239.56818876,3533168.316088762
2025-06-04,3352248.0162164415,3191454.5906575387,3361394.8968075365,3519759.116757538
2025-06-05,3392700.7440723274,3256866.744863423,3399722.3814134235,3544177.2172134244
2025-06-06,3367870.6398797254,3185435.537070819,3372814.477720819,3516473.2278708233
2025-06-07,3334210.7965627387,3156068.63425383,3337661.5649038386,3486395.9702038313
2025-06-08,3266134.3863255475,3126537.7621666435,3284568.9201666457,3401925.9876666437
2025-06-09,3282325.5389808184,3139232.0764719145,3291472.4195719133,3433226.4973219153
2025-06-10,3290537.649122254,3092616.847963349,3293699.439963351,3423479.769463349
2025-06-11,3297063.110287395,3135891.8236284936,3308659.7793784896,3467801.917128497
2025-06-12,3294587.802574516,3113470.9732156075,3304540.6361656124,3452884.289415611
2025-06-13,3305406.161995068,3180842.423336166,3308856.930336168,3454541.9617361664
2025-06-14,3303170.8901335592,3172265.723574656,3309541.001474655,3454072.138424656
